CD107a,CD45,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin
0.107266158,1.070218205,-0.070660792,0.277654022,1.191699743,3.648499727,-0.652888238,2.704558134,-0.05682094,0.474218309,-0.146125302
-0.666327298,-0.616707027,-0.299585491,0.125357389,0.753019214,-0.893062413,-1.080196261,1.233883858,0.48347947,-1.238945603,-0.146125302
-0.471596181,-0.083756208,-0.870857656,0.28109163,-0.557616711,0.240604416,-0.846743166,0.289038301,-0.766046882,-1.48953557,-0.146125302
0.167725384,-0.611960351,-0.896079004,-0.777738094,0.85443747,-0.089385442,-0.630670607,-0.365137815,-0.07597442,-1.235195279,-0.137741953
-0.222346127,0.439634949,-0.334496588,-0.445906281,-0.796372712,1.900342822,-0.177130297,-0.412527442,-0.214011952,0.417670667,-0.146125302
-0.096025303,0.988604069,0.270266265,-0.708374977,-0.630392611,2.68614912,0.316398442,0.201480374,-0.321071088,0.242389232,0.779229939
-0.156930923,-0.525633454,0.085315928,0.101931982,0.324166238,-0.223620117,-0.636781633,-0.135914311,0.709625304,-0.278597355,-0.046576176
-0.139444292,-0.529571295,-0.41637668,-0.226462707,-0.855133474,2.301230669,-0.533810496,-0.16927588,-0.214426696,0.124674201,-0.146125302
-0.103384525,-0.490681142,-0.529938281,-0.050110403,-1.272961497,4.023023605,0.314137429,0.473059237,-0.766046882,-0.585383356,-0.008685633
-0.268088311,-0.33064422,-0.069586337,-0.198512033,-0.357175648,1.305640817,-0.286875099,-0.595362604,-0.151511505,0.494453549,-0.146125302
-0.455782652,-0.352749914,-0.510136008,-0.328623235,-0.974424064,0.472663403,-0.561814308,-0.470600158,0.141000345,-0.226673737,-0.146125302
-0.398392797,0.288847297,0.117530398,0.998185694,1.253370643,0.67259115,-0.480225533,2.440882683,0.691937745,-0.158746466,-0.146125302
-0.53046,-0.582720041,-0.548016608,-0.641266763,0.638025284,0.682137787,-0.833996117,1.692576766,0.424268454,-0.733745456,-0.146125302
-0.591371357,-0.532089353,-0.901034713,-0.590606451,-0.636850536,-0.503946066,-0.866766751,0.501030922,1.286391616,-1.249469399,-0.146125302
-0.519581974,-0.392796814,-0.17087245,-0.210551396,0.261321038,0.687487245,-0.435308695,0.547729969,0.555260062,-0.962617338,-0.146125302
0.455341965,-0.122306563,-0.775925219,0.238940522,-0.534412801,-0.322856516,-0.843877077,-0.283918709,0.859690845,-0.097511463,-0.146125302
-0.27590397,5.309681892,0.612156808,-0.771425068,1.143519402,0.456597775,-0.88299942,-0.222150564,1.590405464,0.332618713,0.016092472
-0.00751357,0.550729752,-0.082772858,-0.569876373,0.280653596,2.313267946,0.014217713,1.102645636,-0.197113946,0.068662211,-0.146125302
-0.481347173,-0.61158222,-0.101736978,-0.141106203,0.325447291,0.53008008,-0.627234876,-0.548553348,-0.416308314,-0.800644517,-0.062118974
-0.549850702,-0.297711879,-0.853574157,-0.146590531,-0.875223875,-0.475671768,-0.761504114,0.871646702,0.255908996,-1.024388909,-0.146125302
-0.459807485,-0.424304545,0.092067704,0.988427699,-0.721581638,0.058441337,-0.820533812,-0.040856186,1.038823962,-0.194963321,-0.146125302
-0.404388756,-0.423703343,-0.66188091,0.989921272,0.105452389,0.633319616,-0.66096741,0.92284435,0.431219637,-0.31353724,-0.146125302
-0.405459464,-0.146790192,-0.427682787,0.395918846,-0.446431369,0.240604416,-1.082958102,0.805379808,0.866239905,0.05671848,-0.146125302
-0.417237222,-0.616707027,-0.017367711,0.470918119,0.189548969,0.7589885,-0.891569078,0.739514887,0.531442583,0.072484203,-0.146125302
-0.414164782,0.248493776,-0.604858756,0.962073922,-0.534412801,0.240604416,-0.769358277,0.296770096,0.717717171,-0.063238144,-0.146125302
-0.311798155,-0.264593035,0.034022044,0.667872787,-0.129817784,1.509136915,-0.787100852,1.136570334,1.003578186,-0.399987131,-0.146125302
-0.466061443,-0.274384439,-1.227362871,0.380610973,-1.261116862,1.379478455,-1.128403187,-0.079564758,0.735148013,-0.810396552,-0.146125302
-0.469582886,0.437333524,-1.494585276,0.339483827,-1.249436855,3.200513363,-0.678279817,-0.684511244,-0.766046882,-0.30822891,-0.146125302
-0.220599666,1.097484708,-0.026491255,0.344341338,-0.333312333,1.743166924,-0.570641637,2.58739996,1.659283042,0.153826222,-0.146125302
-0.326530814,1.197344661,-0.220050439,-0.080131114,-0.959875464,1.111025453,-0.212135956,1.125430942,-0.243536726,0.497923523,-0.146125302
-0.271002263,-0.330801457,-0.183196217,-0.056980006,-0.247583076,1.027169824,-0.171916023,0.041816108,0.115474954,1.307496548,-0.146125302
-0.503683805,-0.543710232,-0.505445659,0.131789625,-0.544663072,0.55515784,-1.173785329,-0.484954566,0.848073304,0.236570224,-0.146125302
-0.255420893,-0.440199733,0.364517748,0.596464872,-0.584687948,2.212717772,-0.446443677,0.838032424,0.738631308,0.54225719,-0.146125302
-0.467247456,-0.616707027,0.058728658,0.389164299,-0.610985696,1.337186098,-0.912663579,-0.641108394,1.168866992,-0.325297236,-0.146125302
