CD107a,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,TIM3
0.338197261,-0.590894341,0.040023174,2.665379763,0.388365656,-0.311332762,-0.110339575,0.621284008,-0.258532077,0.355791956
0.214364052,-0.540904105,0.267496705,1.364078522,0.578931212,1.879418969,-0.18062745,-0.231029853,-0.232244805,0.411610901
0.956521928,-0.583069742,-0.094939321,0.726070762,0.368329585,-0.152724087,0.246364236,1.028034091,-0.244108036,-0.85243845
0.816843331,-0.612539232,0.119535863,0.329748154,0.025911404,1.830970407,-0.233527347,0.441117108,-0.675227463,0.258596689
0.547362208,-0.551074028,0.032304969,0.288963407,0.282283604,0.276273549,-0.1103848,0.295328438,-0.667438626,1.101197958
-0.185829967,-0.095765904,0.494864464,0.693227649,0.198047996,-0.07371562,0.716061473,1.606962085,0.443361461,0.226109162
-0.149447918,-0.583854258,2.154902935,0.073209807,0.104367092,-0.597196579,2.669237852,1.75821805,0.676800489,-1.216232061
0.06017508,-0.529503047,0.263053417,1.879989028,0.48221454,-0.345160604,-0.204222679,0.546823323,0.603385389,0.009019621
1.994045854,0.205860555,-0.03858063,-0.739566147,-0.679584563,-1.003443003,0.741076827,1.318984389,-0.684511244,-0.298971713
0.382026672,-0.211383104,0.138375044,1.12125504,-0.167092144,-0.217159465,0.29025805,0.136001766,-0.62377423,1.066993594
0.974266887,-0.572987616,0.26220268,0.477469146,0.211509362,-0.376528531,0.250713319,1.517239809,-0.152312592,-0.011534086
1.470492959,-0.616707027,-0.643058538,0.775986552,-0.878533661,0.151901081,1.061044335,0.473198622,-0.54878062,0.524190605
0.013829178,0.270309538,-0.694981456,1.792515278,-0.131968528,-0.417523175,0.726589501,0.91662854,0.231813744,1.160319448
0.562000275,1.020031214,0.039128605,0.981520653,-0.636784494,-0.603361547,0.847442925,1.392040491,0.419972628,1.554462552
2.266860247,-0.354588777,0.113639861,0.390271991,-0.862707675,-0.104329996,2.023257017,6.568298817,-0.523183405,1.31832087
1.485003591,0.192464724,-0.035028864,-0.695189059,-1.028118253,-1.146652102,-0.159383297,1.099130511,-0.31482172,0.509253263
1.450801373,0.481152564,0.632932901,0.094244413,-0.813607812,-0.508377492,0.677733839,2.344904661,-0.000805979,0.6854707
0.307749987,0.257824451,0.023436172,0.691263735,-0.519093573,-0.478551567,0.900584161,1.956096172,0.101846069,2.042032242
1.237466812,0.166279927,0.487790585,-0.120623052,-0.422335684,-0.435724616,0.427265346,0.859321177,-0.312628746,2.215584993
