ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph3894194161
-0.368501631,-0.075558184,-0.535285116,-1.582665399,-0.132108632,0.338745008,0.02208079,-1.025563568,-1.203622774,0.041244859,2.344289229,-0.31024242,-0.146125298,6
-0.466396625,-0.075558184,-0.616707011,-1.732002513,-0.531544564,0.061076654,2.029618518,-0.933272551,-0.806617677,-0.531186038,2.261654012,-0.748704556,-0.146125298,6
-0.474534498,-0.075558184,-0.616707011,-1.723457843,-1.229020101,1.188713167,2.795974469,-1.393939944,-0.930479934,-0.678459802,1.191778747,-0.912660711,-0.146125298,6
-0.221545042,-0.075558184,0.149260397,0.260583879,-0.416873651,-0.006572423,-1.358151407,-1.254734244,-0.319379656,-0.216897442,-0.766046861,0.875323558,-0.146125298,2
-0.201080499,31.36789584,5.394207633,-0.711808092,0.208785002,0.592501757,0.760910966,-1.029944772,-0.532651662,-0.533705668,-0.766046861,-0.012836202,0.191181145,12
1.45435762,-0.075558184,-0.616707011,1.694060671,0.939182521,0.38637099,-0.735513327,-0.675731059,0.014217713,-0.474177676,-0.765151374,-0.79128656,-0.146125298,1
-0.227904013,-0.075558184,0.99770238,-1.006638898,3.233761574,2.832254661,-0.71369582,0.362864808,-0.081817323,-0.324575842,1.863813406,0.510354976,-0.146125298,8
-0.285822107,-0.075558184,-0.56001993,0.479599935,0.698933363,2.34049523,-0.187779076,-0.555160602,-0.17713029,-0.576880452,-0.766046861,0.893408401,-0.146125298,5
-0.156314311,-0.075558184,-0.616707011,0.082861619,1.759367221,-0.35568957,2.288728775,-0.590139284,-0.297406177,-0.652361004,-0.744578128,-0.559761891,-0.146125298,1
-0.512231713,-0.075558184,-0.616707011,-1.750323402,-0.508308372,0.903890427,3.340068483,-1.281971742,-0.821887914,-0.67570193,2.161286356,-0.47957471,-0.146125298,6
-0.148385263,-0.075558184,1.386651799,0.321402867,1.454002147,1.007630674,0.50775648,-0.522680397,1.858968656,-0.50471507,-0.766046861,0.830187438,-0.146125298,3
0.423624222,-0.075558184,-0.599760348,0.188834272,0.257878937,0.733224583,2.663389784,-0.566643503,-0.36665593,-0.093315595,0.253017656,-0.409087106,-0.146125298,1
0.090112894,-0.075558184,-0.568908733,0.503965024,0.836986984,0.042696006,-1.002358218,0.572901895,0.933108668,-0.559354943,-0.766046861,1.138085682,-0.146125298,1
1.041135531,-0.075558184,-0.616707011,2.007549561,1.973491204,0.494966561,0.852849122,-0.803759093,0.594089272,-0.407461447,-0.766046861,0.901311021,-0.146125298,1
