CD107a CD3 CD45 CD68 CD86 FerritinHC HLADR Mac2 MerTK PLP S100B TIM3 Vimentin
-0.615103784 -0.075558184 -0.580886419 -0.488597213 -0.789725515 0.394399668 -0.667494041 -0.902889853 -0.835110143 -0.680823425 -0.48722373 -1.070067338 1.000716608
-0.386006291 -0.075558184 -0.476838866 1.314386745 -0.623988174 1.459629117 -0.696535983 -0.398477067 -0.438628988 -0.576836316 -0.123301647 -0.682853569 4.053083927
-0.44586169 -0.075558184 -0.44012565 1.046570509 -1.510923153 -0.060387469 -0.925795127 -0.661646337 -0.116611726 -0.683377559 -0.766046861 -0.646752273 -0.140394909
-0.606921333 -0.075558184 -0.583594125 -1.318991325 -0.301955389 1.406402622 -0.978950772 -1.123564186 -0.673268324 -0.684216637 1.162290721 -0.482635356 -0.146125298
-0.69063598 -0.075558184 -0.616707011 -1.717732397 -1.116455588 0.664087878 -1.493761106 -1.104928003 -1.046665801 -0.661019735 0.316362371 -0.660492894 -0.146125298
-0.469511176 -0.075558184 -0.382626402 -0.172847883 -0.317962585 2.968278394 2.289947245 0.625250128 -0.360015543 -0.584521474 -0.535845297 0.105311474 0.345850862
-0.626881555 -0.075558184 -0.600136941 -1.614365181 -1.130277115 1.164161998 -1.082411686 -0.947359075 -0.95441321 -0.570693645 0.100128129 -1.572406694 -0.146125298
-0.562241477 -0.075558184 -0.616707011 -1.623193637 -0.754343531 0.865955561 -0.630392612 -0.797285765 -1.26195631 -0.684511247 1.211189039 -0.654786755 -0.146125298
-0.472913969 -0.075558184 -0.505612225 -0.112822178 -0.378004408 1.462827567 0.631055965 -1.090263774 0.152717219 -0.674107651 -0.710725648 0.13236212 -0.130882848
-0.549226137 -0.075558184 -0.616707011 -1.40975442 -0.491555005 0.587971815 0.860410252 -0.776884975 -0.448496547 -0.584957469 1.053908911 -0.617559536 -0.146125298
-0.443196402 -0.075558184 -0.13418827 -1.237434381 -0.241280219 0.069876351 1.647937981 -0.729161699 -0.145834013 -0.632419417 0.357095208 -0.417862094 -0.146125298
-0.28417715 -0.075558184 0.008611049 0.174902985 1.65405277 1.051400221 0.849501938 -0.928920617 -0.336422501 -0.557159317 -0.353484954 0.527767652 -0.146125298
-0.278029296 -0.075558184 -0.265371697 -0.237025742 -0.642158956 0.882732877 0.19476548 -0.750041831 0.209470776 -0.574748038 -0.736273593 -0.663407795 -0.146125298
-0.591300289 -0.075558184 -0.483274344 -1.658199742 -1.210150996 -0.457215435 0.22606458 -1.328189476 -1.29569604 0.131911545 0.006843491 -0.976351559 -0.146125298
-0.141550154 0.008010667 0.387853468 0.562133523 0.69820292 0.785352332 -0.050282001 2.773859893 4.400035413 -0.44098166 -0.766046861 0.956922052 -0.069743689
-0.399290155 -0.075558184 -0.578733934 -0.08315233 -0.037352616 1.851122323 0.310688072 0.103465773 0.273904287 -0.03412495 -0.14735044 -0.475062012 0.019146405
-0.53988179 -0.053902912 -0.616707011 -1.486458342 -0.538007522 -0.241881382 0.860410252 -0.973242577 -0.915932381 -0.468379624 1.427571327 -0.317880418 -0.126171546
