CD107a CD3 CD45 CD68 CD86 FerritinHC HLADR Mac2 MerTK PLP S100B TIM3 Vimentin
0.365133876 -0.082224079 -0.598962154 0.215595852 0.833482571 0.401145875 0.128845247 -1.118462751 1.639226803 -0.845888293 -0.543432877 -0.093364591 -0.257775955
0.127798522 -0.082224079 -0.211331596 0.722811112 1.561312785 1.030796858 -0.579502594 -0.253824873 0.705682756 -0.55403148 -0.543432877 2.829351115 4.225182102
0.052786915 -0.082224079 1.857439059 0.396942548 1.551474498 0.728513175 0.833156026 1.131564206 1.633096309 -0.811556102 -0.471195184 0.791371095 -0.256110515
0.039363715 -0.082224079 -0.1779345 0.396201085 0.99277491 0.128877595 -0.330147844 -0.075715947 0.093220032 -0.865990826 -0.543432877 0.579285294 -0.257775955
0.328015845 -0.082224079 -0.625723073 -0.096091644 1.904957456 0.012875093 0.533154577 -0.550821919 -0.268037132 -0.850949534 -0.114973858 1.66783915 0.760051617
-0.052809061 -0.082224079 -0.357996259 -0.290482708 0.336886453 0.903500137 0.791531819 -0.200616389 0.322674957 -0.825802088 -0.332941873 0.980427981 -0.254592585
-0.145729183 -0.082224079 -0.542756092 -1.289851096 0.243595134 0.656811681 0.960923543 2.534633967 -0.680663577 -0.607174173 2.182628664 0.477477605 0.035444051
-0.127595655 -0.082224079 -0.336490653 0.816986183 -0.117575052 -0.178704203 0.143008098 -1.067042787 0.76003886 -0.146000744 -0.528632446 -0.571352357 -0.222665254
-0.328655887 -0.082224079 -0.569337191 1.840451235 -0.37144209 1.237540948 0.781362716 -1.029781943 -0.622956712 1.266194896 -0.537246085 -0.786379655 -0.257775955
-0.031999433 -0.082224079 -0.35447047 0.879632378 0.329514772 0.540181992 0.332681687 -0.840942833 0.018775532 -0.865902733 -0.543432877 1.119529712 -0.257775955
0.075007338 -0.082224079 -0.589808256 -0.018813214 0.784061543 0.773278131 0.219346873 0.302788709 1.24056057 0.773761794 -0.362006631 -0.332687305 -0.257775955
0.121046138 -0.082224079 -0.380683339 1.68167497 0.645948216 -0.12043551 0.712555707 -0.725275554 -0.489418757 -0.839104976 -0.531011475 2.442124259 -0.257775955
-0.418309777 -0.082224079 -0.625723073 -1.89678804 -2.163172486 0.082339472 -0.601419476 -1.211174505 -1.364139886 0.988456608 2.246487105 -1.614649408 -0.257775955
-0.309643933 -0.082224079 -0.617417343 -1.620688911 -0.044789104 0.706338896 0.486857505 -0.169578106 -0.892880309 -0.748583667 2.197507393 -0.100317919 -0.218375982
0.178077934 -0.082224079 -0.516566695 -0.428703848 0.367660236 -0.098543392 -0.732852464 -0.628676315 0.756748885 -0.771454735 -0.543432877 1.93517748 -0.257775955
-0.43213505 -0.082224079 -0.625723073 -1.902149402 -1.07617822 0.248154194 -0.880692758 -0.528035266 -1.158460985 -0.790235824 0.98494434 -0.000775534 -0.257775955
-0.191491722 -0.082224079 -0.386995563 0.974497731 1.515611226 1.551322215 0.319478895 -0.224506596 0.382726311 1.348212417 -0.515732421 0.035409183 -0.257775955
-0.428147986 -0.082224079 -0.625723073 -1.896778528 -1.275116021 -0.0686084 -0.402288212 -1.221591556 -1.3163478 1.804023709 2.339053428 -1.433273579 -0.257775955
-0.066329205 -0.082224079 -0.230894044 -0.132841929 0.750401473 -0.387354039 1.793288203 -0.903095075 -0.138452846 -0.841348491 -0.543432877 0.763219246 -0.257775955
-0.005851202 -0.082224079 0.023639053 0.120149335 1.545395039 0.147510352 1.275659308 -0.153594319 0.217230837 -0.773400192 -0.390509863 1.184238952 1.061744772
0.080198842 -0.082224079 -0.406756243 -0.286786548 0.771185567 0.222469897 -0.795586811 -1.042919841 -0.329516455 -0.202481277 -0.509066999 -0.296727986 -0.176619665
-0.051353518 -0.082224079 -0.562776221 -0.268062538 0.709697615 1.223074189 0.486349956 0.095218389 0.988574891 -0.827780162 -0.406750407 0.588195679 -0.257775955
-0.141036248 -0.082224079 -0.625723073 -0.308272757 0.839145935 1.216330457 -5.10E-05 -0.412823292 -0.798484042 0.599281308 0.539287549 0.096716464 0.08548139
-0.453151385 -0.082224079 -0.625723073 -1.866583346 -1.462607004 0.477837133 0.382989751 -1.554014845 -1.363032205 1.108327217 1.854347834 -1.541588379 -0.257775955
-0.378481572 -0.082224079 -0.625723073 -1.630815015 -0.095774509 0.950927259 -0.136071102 -0.378409637 -1.098531668 -0.859223994 1.901334413 -0.616546147 -0.203545976
-0.329170763 -0.082224079 -0.625723073 -1.54812138 -0.04232285 0.703687946 -0.451367315 0.244096057 -0.626968997 -0.735736338 1.373274687 -0.751423032 3.247627834
-0.165431091 -0.082224079 -0.346131389 -0.798348884 -0.611834487 0.935532962 2.755737148 -0.882532094 -0.392819239 -0.823396739 0.627154851 0.741276973 -0.257775955
-0.274093204 -0.082224079 -0.144389814 -0.523106952 0.225694154 0.597622507 -0.517924979 -0.78851798 -0.267144595 1.508536483 0.305606468 -0.974528541 -0.257775955
-0.36174799 -0.082224079 -0.520666948 -1.701213449 -1.237048886 -0.250776175 0.805026451 -0.086911284 -1.053378028 -0.841767818 2.074002764 0.022444293 -0.257775955
-0.26694032 -0.082224079 -0.625723073 -1.20541036 0.192713387 0.623153624 2.656914265 -0.512939109 -0.873824822 0.018322449 0.704746561 -0.546489825 -0.257775955
-0.014146402 -0.082224079 -0.625723073 -0.603685509 1.827150624 0.856463696 -0.221580162 -0.42174769 0.190912852 -0.641936394 -0.519189621 0.03700458 -0.257775955
-0.176168371 -0.082224079 -0.444775553 -0.503112475 -0.716031798 0.343711601 -0.446819304 -0.438576557 -0.66310079 -0.817014934 -0.48695192 -1.075958599 -0.237143
0.166526577 -0.082224079 -0.418040049 0.675804813 1.64927667 0.67769532 -0.034639522 0.354624004 1.100130691 -0.787645329 -0.177579465 2.6095916 0.28143194
0.280381383 -0.082224079 -0.591517647 0.926663904 4.48020518 0.187348912 -0.093909286 -0.00297108 0.437272517 -0.557542544 -0.496553962 1.217390225 -0.214540064
-0.144110579 -0.082224079 -0.414929378 2.12495247 1.127168446 2.601933186 2.295761548 -0.257273571 1.233564425 -0.355462483 -0.423725068 -0.037686458 -0.257775955
-0.047752389 -0.082224079 -0.590110937 1.447499215 -0.350364156 0.415926118 1.543520751 -0.119636809 -0.282515851 -0.756296585 0.051973658 -0.000775534 -0.257775955
-0.109629728 -0.082224079 -0.460170696 -0.4866404 0.566119373 1.225427679 0.613773308 0.501054892 -0.217175051 -0.835593812 0.928234432 0.7302947 -0.257775955
-0.229468901 7.369534277 -0.623176435 -1.573035051 -0.51989461 1.211533951 -0.431293103 -0.876647558 -0.236908728 -0.630515335 2.298616398 -1.248023314 -0.257775955
0.006356523 -0.082224079 -0.625723073 -0.861202068 1.314059458 1.196993722 -0.593460187 -0.417330113 -0.853720409 -0.359026333 -0.523028137 -0.573144251 -0.248491125
0.339449592 -0.082224079 -0.610284081 -0.059116367 1.407504964 -0.154001529 -0.419571842 -0.438576557 0.982482645 -0.027820745 -0.543432877 -0.87522774 -0.257775955
-0.199715064 -0.082224079 -0.529498662 -0.468920047 2.061002606 0.791888088 -0.511337606 -0.715274427 -0.786394003 0.043170618 -0.474376443 1.271589946 -0.182201759
-0.118270632 -0.082224079 -0.620233654 0.017952044 0.311644031 0.005037681 -0.350259705 -0.963943162 0.140534197 0.990318719 -0.543432877 -1.083616886 -0.257775955
0.505299964 -0.054364891 -0.58819337 -0.400768258 1.384347915 0.403278003 1.151428828 -0.195760059 1.741526809 -0.681282304 -0.543432877 -0.046583354 -0.257775955
0.123988442 -0.082224079 -0.570378929 0.805479302 0.073225691 0.619060793 1.26427255 -0.650344388 -0.590055976 -0.759404686 -0.543432877 0.199397132 -0.257775955
-0.072072275 -0.082224079 -0.588986191 -0.750803466 -0.206006998 0.370012959 -0.540544038 -0.255530274 -0.358842551 -0.741671158 -0.372500397 -0.097465272 -0.243491602
0.050004775 -0.082224079 -0.136356962 0.849078938 0.765708907 0.105933711 1.149091606 -0.688701913 -0.421240194 -0.628683657 -0.436398683 1.331711151 -0.257775955
-0.119066049 -0.082224079 -0.548810881 -0.046023368 1.505057965 0.608676143 -0.145436792 0.271194745 -0.790093256 -0.376041283 -0.543432877 1.158514693 -0.257775955
0.014123948 -0.082224079 -0.571271576 -0.530355139 3.68335519 1.538170493 0.514592593 -0.411161791 -0.09623801 -0.378806712 -0.543432877 0.933260703 -0.257775955
0.253817936 -0.082224079 -0.311685523 1.029749993 1.243671934 1.084950626 0.528041468 0.554763663 1.594318244 -0.583878408 -0.525859416 0.552110979 -0.186230513
-0.158564565 -0.082224079 -0.493010998 0.43676983 -0.299945043 -0.149652727 -0.050049768 -0.785166586 -0.373910061 -0.77857136 -0.541033025 -0.357526328 -0.257775955
-0.071115097 9.052076883 -0.208646554 -0.375938796 -0.869431184 0.564136369 1.821203389 -0.275995075 -0.336250301 -0.820458267 -0.543432877 -0.341366637 -0.257775955
-0.29089479 -0.082224079 -0.064950514 -0.18379379 -0.583390667 0.779308699 0.546730766 0.23544855 -0.803806004 4.0584861 -0.542877394 -1.484909428 -0.249771792
0.187127778 -0.082224079 -0.594448044 0.045950196 0.738650633 0.252905161 -0.108589148 -0.579799208 0.335601779 -0.756828431 -0.543432877 0.649953781 -0.257775955
0.195991271 -0.082224079 -0.525273536 1.286080428 2.625841599 0.329056868 1.933443286 -0.085938489 -0.362538734 -0.538280619 -0.421155945 1.292886736 -0.257775955
0.096347105 -0.082224079 -0.625723073 -0.044950986 1.024675302 0.799185499 0.669836415 -0.495134515 -0.285867567 -0.541778161 -0.080117944 -0.020823475 -0.134845459
-0.274030253 -0.082224079 -0.445944596 -1.500584916 1.394155606 0.447920288 -0.486451975 -0.608548105 -0.83584982 -0.289070973 1.192998583 0.090254785 -0.253649364
0.1146126 -0.082224079 -0.625723073 -0.663463025 0.597165837 0.562047371 1.388402656 -0.694938603 -0.712823366 -0.803373845 -0.056701275 0.050701478 -0.249718871
0.125640269 -0.082224079 -0.569984355 0.159259219 1.708378956 1.310095354 0.135018797 -0.343784731 0.284498665 -0.298353949 -0.531867437 -0.146673442 -0.247419799
-0.141467703 -0.082224079 -0.625007061 -0.586885715 1.025016837 1.514023593 3.189047496 0.256089773 -0.322264622 -0.687351872 0.704011149 0.048019753 0.249256491
0.150830625 -0.082224079 -0.572789388 0.263961993 0.657687129 0.839195407 2.987840637 -0.317168308 -0.557115043 -0.727878907 -0.383458598 0.83365556 -0.255364311
-0.144306563 -0.082224079 -0.612826245 -0.270670125 -0.216130806 0.370220712 -0.576699865 -0.909582053 -0.69611473 -0.585825997 -0.54248402 0.010041735 -0.257775955
0.137603467 -0.082224079 -0.467729733 0.927131062 3.743126197 0.981834331 0.49255933 0.24854247 0.823695373 -0.354635143 -0.293208403 1.354223341 -0.15576854
-0.146545235 -0.082224079 -0.596131673 -0.895025387 1.093795051 0.069094493 -0.29249959 -0.098633459 -0.893929235 -0.00997871 2.865366914 0.612977686 -0.21251241
0.701758534 -0.082224079 -0.581148989 0.71341821 1.716676095 0.172449727 0.052869416 0.418080048 0.818966752 -0.54697337 -0.353160464 -0.416771621 0.44143363
-0.040196243 -0.082224079 -0.506328206 0.945316484 -0.367959649 0.135521841 0.440952533 -0.551890922 -0.487373328 -0.811434709 -0.543432877 -0.004516506 -0.257775955
-0.417979361 -0.082224079 -0.625723073 -1.902149402 -1.510463193 -0.601389345 -1.071968609 -1.464819869 -1.223945071 -0.869677673 2.532677959 -1.711740844 -0.257775955
-0.303460162 -0.082224079 -0.519365577 -0.262411944 0.352905683 0.038558825 -0.111923231 0.241309638 -0.773302757 1.818795675 -0.534483429 -0.928536592 -0.028750153
-0.074063861 0.683767358 -0.544589726 -0.510867891 1.14231295 0.910174158 1.331902735 -0.118581221 -0.317340569 0.218283808 1.037954183 0.730772 -0.233712582
-0.4511448 -0.082224079 -0.618237501 -1.816402874 -1.219891404 0.149318275 -0.571572144 -1.529871159 -0.893929235 0.468008843 2.312132412 -1.222542982 -0.257775955
-0.01290669 -0.082224079 -0.583866252 -0.635428742 -0.394658365 0.000661309 0.690638362 -0.99098409 -0.263990961 -0.850810234 -0.543432877 -0.359908846 -0.257775955
0.11301018 -0.082224079 -0.552866122 0.592107434 -0.331056711 0.30181974 0.124223164 -0.082615198 -0.301322716 0.334608673 -0.543432877 0.698453266 -0.257775955
0.314149175 -0.082224079 -0.241941074 -0.10828412 -0.172942941 0.260867171 1.346645229 -0.941101135 -0.350235979 -0.671088068 -0.541191624 -0.582415355 -0.257775955
-0.007906309 -0.082224079 -0.584122074 -0.400790918 0.685848904 0.587460759 0.210779235 0.153658804 -0.432298289 -0.574932889 0.268191578 1.033922578 -0.257775955
-0.135010609 -0.082224079 -0.462634201 -0.389926582 0.892908745 0.894177036 0.121078521 0.197446012 -0.760332168 -0.727946953 1.791714693 1.167131792 -0.146357997
0.087665204 -0.082224079 -0.596424894 1.030452249 2.061002606 1.317975172 0.578653023 -0.869434668 -0.11312994 -0.189686775 -0.535590663 0.334345959 -0.257775955
0.211573511 -0.082224079 0.215477811 0.399259462 2.505454774 0.829856401 -0.035302369 0.224727048 0.318640065 -0.129957444 -0.430875645 1.56886854 -0.136134979
-0.024754419 -0.082224079 -0.625723073 -0.746258869 0.145222751 0.624343303 1.398028934 0.591781946 -0.870800264 -0.441657585 1.508540788 0.251491782 -0.215049305
-0.011745433 -0.082224079 -0.608641635 -0.289599546 0.096711621 0.798775597 2.120450222 -0.27583784 -0.715698623 -0.815338518 1.834073528 0.325166602 0.054681616
-0.061765205 -0.082224079 -0.348457502 0.372298603 0.249508837 1.035477673 -0.179046565 -0.691988684 0.222413989 -0.830779427 -0.537028327 0.306936418 -0.257775955
-0.424117332 -0.082224079 -0.625723073 -1.755646284 -1.835844156 -1.042492395 -0.80310893 -1.435858602 -1.300120436 1.559651595 2.356297686 -1.939591536 -0.257775955
-0.152311526 -0.082224079 -0.625723073 -0.877128173 1.554347902 4.741516637 0.133069255 -0.420684815 -0.786000281 -0.745679309 0.149763062 1.03173274 -0.212817832
-0.180803109 -0.082224079 -0.509228865 -0.253953689 -0.418929925 2.525478593 1.653712274 -0.718643313 -0.473564236 -0.835186801 -0.533547805 0.110178295 -0.257775955
0.017898531 -0.082224079 -0.625723073 -0.003098358 0.828848909 1.099655428 -0.123862164 -0.410482086 0.337258371 2.561308159 -0.543432877 1.522201996 -0.257775955
-0.413811278 0.387420488 1.87674699 -1.756387305 -0.001525895 2.289932539 2.920139742 -0.921981878 -0.877329261 -0.219841026 2.778339285 -0.545104121 4.257433954
0.275218713 -0.082224079 -0.050989165 2.028461008 0.9087488 -0.034384758 0.088918816 -0.229315102 -0.41405003 1.337280932 0.15516369 0.242293652 -0.145798108
0.189680804 -0.082224079 -0.391154196 0.222632551 3.718963128 0.901930183 -0.234667946 -0.038643501 0.827616718 -0.474267989 -0.521051738 2.654057122 -0.191455742
0.32078082 -0.082224079 -0.584973972 0.325096577 1.847395925 0.311353826 0.897715688 -0.328356099 0.468093284 -0.739881787 -0.484274891 2.219293451 1.770309743
-0.201386785 -0.082224079 -0.581051113 1.037188022 -0.168776266 0.275585759 -0.46448548 0.015013207 0.266938483 -0.815406422 -0.424575816 1.308454963 -0.257775955
-0.417058919 -0.082224079 -0.624653705 -1.118624564 -0.025383916 0.403753075 0.180612206 -0.813838417 -0.8216926 0.472811819 2.522299144 -0.804841595 -0.156084962
-0.325872952 -0.082224079 -0.625723073 -1.641103554 -0.943840814 0.757198424 0.556539463 -1.170099677 -1.008448043 -0.799482908 1.159363765 -0.705404185 -0.257775955
0.087809 -0.082224079 -0.208933842 -0.162521382 1.578080094 0.273910369 0.345834122 0.316852548 0.488559412 -0.850232969 -0.487747426 -0.233547125 -0.257775955
-0.11989562 -0.082224079 2.468195152 -0.335935634 3.714779136 1.054483558 0.829459827 0.101197956 0.502512425 0.362581157 0.137644263 1.893470698 -0.257775955
0.170363254 -0.082224079 -0.587335526 0.718218344 2.117448094 0.215733834 0.059813725 0.001209968 0.647409095 -0.072529806 -0.51915046 0.391634117 0.606643867
0.606570069 -0.082224079 -0.620200181 1.052296868 1.151913598 -0.082178615 1.88860835 -0.14838123 0.268203907 -0.862874991 -0.543432877 1.085931213 -0.257775955
-0.324433907 -0.082224079 -0.249382895 -0.557794455 -0.010809612 -0.044859368 -0.27243555 -0.148788998 -0.92754645 1.007329937 0.299164937 -0.695492434 0.520323227
0.074307951 -0.082224079 -0.606233117 0.007877032 0.87830702 -0.039247135 0.045643907 -0.416745349 0.285406698 0.012057135 -0.529284539 -1.001571348 0.116683788
-0.146775203 -0.082224079 -0.625723073 -0.617743221 -0.195167959 0.42717812 -0.185867109 -0.247597289 -0.774206326 -0.869677673 -0.543432877 -0.235321869 -0.257775955
0.422923517 -0.082224079 -0.538750088 0.914468858 1.093795051 0.108464379 0.449869884 -0.003024463 0.131395828 -0.857167741 -0.536049583 2.225570432 -0.257775955
