CD107a,CD45,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin
-1.055878162,-1.668853521,-0.89039731,-0.807695925,0.855629444,-0.360312521,-0.387594014,0.099393241,4.607008934,-0.162147209,-0.076812387
-0.82567215,-1.917096734,-0.34507975,-0.433847904,0.187298253,-0.175400183,-0.58066684,-0.410359055,3.775915623,-0.047905564,-0.076812387
-0.388898343,-0.356298447,-0.454656333,0.055978633,0.469984025,0.19659394,-0.515147746,-0.403141141,3.151261091,0.699620903,-0.076812387
-0.949894488,-0.824383914,-0.192161024,-0.074117571,-0.165321678,-0.196185112,-0.564786136,-0.813446343,3.183254957,0.451713324,-0.076812387
-1.157269597,-1.642669439,-0.471156031,-1.036378264,0.486111015,-0.262591183,-0.526042283,0.729297459,3.594232321,-0.102462485,-0.076812387
-0.922226906,-1.604242206,-0.788184524,-0.020686338,-0.074059047,-0.295086473,-0.585527658,-0.315887034,3.318799734,-0.134419471,0.064501204
-1.063687682,-1.663722038,-0.579654098,-0.211774722,0.592158198,-0.288131982,-0.56113106,-0.465035409,2.065643072,-0.711632848,-0.076812387
0.308255762,-0.520148873,-0.248812065,-0.262621045,2.120407104,-0.725910246,-0.587550282,1.25689137,2.474473238,0.344099164,-0.076812387
-0.523816049,-0.800774276,-0.105050184,-0.84382087,1.61387527,-0.071807355,-0.437028199,0.552007198,3.926862001,-0.045106817,-0.076812387
-0.656323314,-1.948301196,-0.461775929,-0.341557503,-0.224155068,-0.306233734,-0.536503613,-0.531669199,3.15799427,-0.096589282,-0.076812387
-0.477491707,0.212762296,-0.189199582,-0.624667406,1.405747652,0.362928659,-0.249578625,1.64232707,5.246591091,0.862437785,-0.076812387
-0.41179502,-0.883902013,0.117295243,-0.92424345,0.142404512,0.028893188,-0.424522281,0.828387439,2.9520154,1.092875719,-0.076812387
-0.822990835,-1.740815878,-0.265090555,0.074245401,0.530323088,-0.113516316,-0.603500187,-0.674649775,3.665539742,0.542363703,-0.016970407
-0.691204369,-1.638464808,-0.08990591,-0.562056363,0.402788222,0.011333887,-0.468748808,0.564400256,5.446719646,0.409409821,-0.030995872
-0.692211866,-1.216407895,-0.415924639,-0.514704287,0.432127237,-0.151794478,-0.532611132,-0.568408847,3.041086435,0.579815447,-0.076812387
-0.608034909,-0.397413939,-0.458397746,-1.175222874,0.870416105,-0.198374316,-0.43775332,2.073980093,4.02318573,-0.003696772,-0.076812387
-0.930465877,-2.017531872,-0.324514627,-0.668840528,0.479938954,-0.483188033,-0.60228461,0.035804659,5.210364342,0.74548763,-0.076812387
-0.178796619,1.405256152,-0.216763765,-0.444835186,2.188276529,0.491957009,-0.219902828,2.588576078,2.729063988,0.459267527,-0.076812387
0.231306285,-0.580620527,-0.634852529,-0.581626952,-0.398392409,0.313714027,-0.274909854,1.892235756,2.580165148,0.218501747,-0.076812387
-0.881706357,-0.435169578,-0.711688757,-0.816226006,1.248640776,0.112007208,-0.478769839,-0.616237104,4.285332203,-0.295648456,-0.076812387
-0.162785485,-1.290039182,-0.016938062,-1.060819149,2.195196867,0.003983483,-0.386537045,1.728741765,2.639741659,0.063111432,-0.076812387
-1.161410809,-2.171364307,-0.149106234,-1.330571175,-0.489955902,-0.412430555,-0.624834001,-0.003568048,3.479988337,-1.230354309,-0.076812387
-0.206876919,0.046652433,0.561297715,-0.719617963,2.783439159,0.215021759,-0.464010268,-0.441841066,2.202687502,0.833200216,-0.076812387
-0.75987041,-1.893772721,-0.485211343,-0.3849563,-0.605148673,-0.20458886,-0.590371728,-0.449562162,3.583707809,-0.063434102,-0.076812387
-0.403860748,-0.449526429,0.008761305,-0.566148877,1.791501284,0.332083762,-0.422847033,-0.422847062,2.687189341,0.777802825,-0.076812387
-0.633951545,-0.789137721,0.081919439,-0.591352761,-0.460923582,0.378794372,-0.32167846,-0.327232093,2.506077766,0.761251152,-0.076812387
-0.851738453,-0.304285824,-0.493544519,0.512227476,1.046646118,0.080677159,-0.539200544,-0.744071186,2.813081741,-0.225142628,-0.076812387
-0.719660521,-0.715247631,-1.14141655,-1.163406253,1.141230941,-0.105616622,-0.241920352,3.03250289,4.151604176,-0.368616402,-0.076812387
-0.981550455,-1.774717689,-1.26711905,-0.564974785,-0.58752358,-0.177845985,-0.549506724,-0.317229182,2.824392319,0.645893335,0.011315555
-0.533140659,1.305775404,-0.541053236,-0.955995679,1.767557979,0.401998043,-0.28536126,-0.297882766,4.320408821,0.413421363,0.262335151
-0.860742807,-1.642298818,-0.74110955,0.124927223,-0.070636697,-0.021230632,-0.57026881,-0.610525131,4.569821835,0.583911777,-0.021277217
-1.089147925,0.341733336,-0.678426862,-0.09009368,-0.94508034,-0.265896469,-0.590371728,-0.451373309,4.098649979,0.361507356,-0.076812387
-0.946956456,-1.117796421,-0.112907313,-0.468723685,1.079454184,0.121073917,-0.537617445,-0.356448501,4.115098953,0.504255891,-0.076812387
-0.112283073,0.11406637,-0.056695968,-0.583367348,0.108110078,0.936854601,-0.1820364,-0.39593488,3.945479631,1.464933753,-0.076812387
-0.652762651,0.670642257,0.0828624,-0.568863273,0.36027658,0.384164423,0.379493743,-0.812322915,2.116118908,1.397066951,-0.076812387
-0.963500619,-1.143633008,-0.65056783,-1.166182995,2.240790844,-0.474129111,-0.290009797,3.770491362,2.706821918,-0.801838875,-0.076812387
-0.157032043,1.424156427,0.673273563,-0.473274261,0.515823007,0.90476197,-0.234440193,-0.45083636,3.105174065,0.766530037,-0.076812387
-1.031304955,-1.330357194,-0.805585146,0.195523933,-0.360316485,-0.329351306,-0.435121119,-0.640707195,5.067311764,-0.876030087,0.053832728
-0.752041519,-1.003212094,0.121523842,-0.477890074,0.700369596,0.184457004,-0.495821536,-0.413360208,3.206989765,0.465659529,-0.076812387
-1.089319229,0.261097699,-1.266322732,0.408970296,-0.398392409,0.112007208,0.174571842,-0.424399763,3.04094553,-0.318427265,-0.076812387
-1.063266516,-0.893139541,-1.201556563,-1.294193387,-0.093180738,-0.519458652,-0.596753657,-0.361281365,3.439302206,-0.897969723,-0.076812387
-1.064143538,-1.483923674,-0.759170651,-0.640889168,0.296869427,0.045976304,-0.496330768,-0.472837001,2.725488663,-0.308315605,-0.076812387
-0.445781887,-0.42222482,0.043545682,-0.77406919,-0.268030822,0.080261581,-0.449991733,-0.513704777,3.378100634,0.677570999,-0.076812387
-0.508755088,-0.272095174,0.520868242,-0.69915545,-0.66414988,0.488432914,-0.282453179,-0.755083203,3.507380247,1.555731416,-0.005293924
-0.770983636,-0.167496815,-0.558392465,-0.404090524,1.302880049,-0.218194351,-0.563567817,-0.553117692,1.710093021,0.257169455,-0.076812387
-0.759355366,-0.124187268,-0.247092992,0.387476474,2.342197895,0.190802038,-0.537688136,-0.166107729,1.041680574,0.674171388,-0.076812387
-0.603383362,-1.608387232,-0.468063116,1.222653747,0.020183593,0.075694099,-0.619910777,3.068357229,3.901790857,0.637330711,-0.076812387
-0.537655711,-1.332941413,-0.546321332,0.848077297,1.545116782,-0.059583027,-0.561838508,4.817949295,2.696195602,1.062384844,-0.076812387
-0.868006825,-1.887725949,-0.533908367,0.523481846,0.402788222,-0.171282828,-0.577807367,-0.521507025,3.281995773,0.329429775,-0.076812387
-0.632867754,-0.403963804,0.392153919,0.619442225,-0.215265408,-0.148976728,-0.584186196,-0.012714465,2.855816841,1.002588511,-0.076812387
-0.746113062,-1.68213737,-0.129775524,1.494095683,-0.574979186,-0.13759765,-0.614987612,-0.579873025,3.264964581,0.304946095,-0.076812387
-0.321451485,-0.268189847,0.006332574,0.424920589,-0.056555338,-0.087394401,-0.434908807,-0.372396588,2.231400728,0.612249672,-0.076812387
-0.914870679,-1.977382898,-0.464841336,1.201588035,0.17133604,-0.354159683,-0.617175698,2.230072737,2.489517212,0.099184185,-0.076812387
-0.969578981,-2.320339918,-0.706285834,1.554132342,0.280254722,-0.22623311,-0.606927156,-0.356031924,3.015343189,0.532587647,-0.076812387
-0.661593616,-1.469149709,-0.780576408,0.878001034,-0.425959915,-0.045082442,-0.598153532,-0.663048685,2.772289515,0.824711919,-0.076812387
-0.775745273,-1.274486661,-0.49884358,0.97310704,-0.526581287,-0.207265884,-0.611402571,0.551183581,3.280408621,1.035827041,-0.076812387
-0.668658316,-1.572574139,-0.212677062,0.711524427,-0.56185478,-0.13286449,-0.580117881,-0.127143681,4.446224213,0.453132927,0.001905921
-0.47906056,-1.484881163,-0.791279316,-0.321812153,0.579319537,-0.049260579,-0.613541245,-0.502336204,2.917683363,0.717006445,-0.076812387
0.651959836,-1.260534644,-0.45157516,0.354579866,0.000178123,-0.051053271,-0.580235779,-0.355401456,3.959168673,0.6010198,-0.076812387
-0.90952605,-0.662252724,-0.191581815,1.018597603,-0.185702309,-0.240417659,-0.591453552,-0.313187689,3.462431431,0.958217084,-0.076812387
-0.709536672,-0.772742152,-0.158392563,1.258829594,1.015455723,-0.309966862,-0.397225618,-0.314406991,1.916466832,0.806316197,-0.076812387
-1.019981503,-1.930908918,-0.530764043,1.737162113,0.150988594,-0.085583158,-0.615997493,0.418777287,4.978979111,0.704294682,-0.076812387
