CD107a,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,TIM3
-0.001854649,-0.596060097,0.404627204,-0.077619046,-0.550898492,1.149549007,-0.533998311,-0.400721133,-0.137880072,-0.486147225
0.116890095,-1.294895411,-0.042939615,0.398167908,1.592650056,0.911983013,0.141975075,-0.023914874,0.01079092,-0.211041465
0.104498908,0.477027863,-0.902476609,0.20609574,-0.572969735,3.180214405,-0.68401438,-0.426197529,-0.587549627,-0.434016168
0.281404793,-1.570563912,0.020919822,-0.659139872,-1.020260096,10.17719173,-0.73372072,-0.571815193,0.281222939,-0.825526893
-0.315829456,-1.141527057,0.63111347,-0.028186418,-0.821060002,0.447108835,-0.573428154,-0.328605473,-0.811575294,-0.659878552
-0.125941828,-0.075438976,-0.272331834,0.751893878,1.17341733,0.758434236,-0.089910462,0.060768183,-0.331539422,-0.316972166
-0.740815759,-1.570342064,-0.472375929,0.040334813,0.718022227,-0.251890808,-0.46808517,-0.49387753,-0.673924923,-0.089167103
-0.159418479,-0.591877103,0.08488147,-0.149106234,-1.304846883,0.819402158,-0.436779439,-0.051612291,-0.675646901,-0.579434454
-0.191547394,-0.364673316,-0.175744683,0.044200961,-0.809402645,0.700369596,-0.239656597,-0.106259532,-0.624137878,-0.597240746
-0.204141736,-0.172151387,0.04248381,-0.527988374,-1.163469315,-0.165321678,-0.593599975,-0.094742291,-0.249063686,-0.605874121
-0.852594495,0.296420187,-0.409579456,-0.780576408,-1.337167263,2.165385485,0.04285058,0.335395545,-0.572538316,-0.616721153
-0.212206081,-0.924225807,0.937509179,-0.480628073,-1.075666308,2.277550936,0.321782321,0.352457315,-0.534621477,0.031322323
0.253447115,-0.292801589,0.542043328,-0.745494723,-0.932580054,1.405747652,-0.399943948,-0.390831202,-0.743780553,-0.24551098
-0.585677028,0.35577473,-1.130880356,0.229775876,-1.132961512,1.652629972,-0.189544499,-0.095838815,-0.297163993,-0.288597882
-0.621297479,-1.324093342,0.370585501,-0.74110955,-1.180025339,0.402788222,-0.66645509,-0.595397472,-0.625199854,-0.361307025
0.364960581,-0.651961565,-1.462249398,-0.802351236,-0.81205225,1.192918062,0.217928126,0.025194898,-0.578323781,-0.047905564
-0.462216318,0.323067635,-0.938077986,-0.111960933,-0.519405961,1.914034843,-0.244963035,0.215323552,-0.741900146,-0.174544334
0.097507231,-0.270105958,-0.417026013,0.527468979,0.12519297,0.402788222,-0.623811066,1.035096526,-0.938448012,0.168430984
-0.132779658,-1.442813158,0.785843015,-0.926300287,-1.42951107,0.456200272,-0.666004837,-0.060478214,0.525769711,-0.79569751
-0.515264928,-0.664771199,0.005061474,-0.813811719,-1.388420224,0.07388249,-0.723938704,-0.22781302,-0.136838987,-0.737608671
-0.402991593,-1.28766489,0.045240931,-0.532019019,-1.55771172,1.333521485,-0.728846669,0.246253759,-0.086027339,-0.511366308
0.430032551,-0.23538202,-0.134941697,0.249717027,0.575984478,2.266587257,-0.374970704,0.821067989,-0.852386713,-0.778427839
-0.626606762,-0.278246105,-1.140569687,-0.440554023,0.459339648,1.203968883,-0.323103249,-0.206869036,-0.305157453,-0.333341956
-0.078667521,0.082807697,-0.616938651,0.777050018,0.006575146,-0.384149194,-0.067800023,-0.207968682,0.129453495,0.228444874
-0.523401678,-0.653597891,-0.835099518,-0.233930588,0.689854622,0.30951643,-0.646694303,-0.525562167,-0.545703471,-0.444868267
-0.879738748,0.007810876,-1.375420451,-0.640249729,0.049622286,1.405747652,-0.612216353,-0.462308407,-0.567190945,-0.030076504
-0.066591688,-0.186817437,-0.865428627,0.262251467,-0.228633732,0.224239394,-0.581106842,-0.469524205,-0.276846528,0.236569837
-0.110483743,0.070859902,-1.075872183,0.196988001,1.284137726,1.203968883,-0.390098721,-0.330579579,-0.582812548,-0.176737666
-0.610195398,-0.996521592,-0.441310018,-0.362991303,1.017058372,0.201200843,-0.24809061,-0.395826936,-0.349972129,0.011620493
-0.726929426,-0.673636973,-1.041640997,-0.402996302,0.797774971,0.381313264,-0.714426398,-0.461878568,-0.064919837,-0.492483288
-0.58067441,0.091779433,-0.986067533,-0.483413994,0.759703934,1.260522723,-0.560066402,-0.152836636,-0.938448012,-0.699190676
-0.805692017,-1.182715893,-1.347005367,-0.483413994,-0.538664877,-0.373257339,-0.804657102,-0.254533976,-0.28413263,-0.402651429
-0.274240524,-0.115946591,-0.588537276,0.383031547,0.089917243,-0.182343692,-0.333301902,-0.296732932,0.532981396,0.221183032
-0.574774802,-0.692560852,-1.459695458,0.278663874,0.193275735,0.201200843,-0.606980026,-0.564432442,-0.000521938,0.236784264
-0.226111263,0.238834947,0.285792053,0.551566184,1.603862405,2.200505733,-0.182540029,-0.296262622,0.892926157,0.492278337
-0.177029774,0.032078646,-1.22819829,0.59512645,-0.373216271,0.551578879,-0.441194355,-0.501344323,-0.57394135,-0.413242102
-0.4787516,-0.685521364,-0.773290575,-0.419736326,0.599817812,-0.165321678,-0.656649232,-0.426415116,-0.50182873,-0.092188783
-0.715832949,-0.80220139,-0.699550211,-0.122424401,0.377578139,0.666839302,-0.572821975,-0.260796368,0.086745836,-0.108361147
-0.504606724,-0.428792417,-1.026132464,0.242130727,0.647814095,0.312219977,-0.455590814,-0.398082525,-0.416647494,0.065464005
-0.44245559,-0.803353429,-0.912770629,-0.75453639,-0.83416605,0.553112805,-0.709792137,-0.602806568,-0.556682527,-0.012752906
-0.135016099,0.141986221,-0.851229966,0.19929111,0.476853132,-0.339454979,-0.520934939,-0.378712952,-0.202812001,0.045697004
-0.60731411,-0.64390707,-0.999950767,-0.038966093,1.699245691,0.06368386,-0.466442406,-0.326695651,-0.399080127,-0.369761556
-0.837872505,-0.005533371,-0.806889832,-0.452211916,-0.455241859,0.652756572,-0.62894845,-0.59197998,-0.479478598,-0.498000205
-0.07506448,0.414281338,-0.598968565,-0.5422858,-0.553987145,0.83512342,-0.640016735,-0.549407244,0.068171084,-0.398347527
-0.043542922,0.273495823,-1.027552724,0.051116012,0.007551138,0.487465858,-0.403293997,-0.300758302,0.899780035,0.04243559
-0.34379819,-1.295198679,0.351557642,-0.135378629,-1.107220173,1.338660121,0.211357221,-0.11722371,-0.538585663,-0.170577258
-0.495365918,-0.107502148,-1.138942003,0.806951404,-0.145327941,-0.278589696,-0.499953538,-0.505450785,0.424416751,0.026701555
-0.087083966,-0.336681217,-0.976688504,0.018047633,0.97395885,0.280254722,-0.064274393,0.06001829,1.207929969,-0.288597882
-0.686622739,-1.171447873,-1.145268798,-0.788184524,-0.310613543,-0.074059047,-0.571296394,-0.453768462,-0.156142294,-0.330646545
-0.168030038,0.398308516,-0.321393341,0.244781107,0.509958327,-0.195320889,-0.320449948,-0.465375096,-0.362844378,-0.138860255
-0.049911544,-1.480421305,1.197203875,-0.681909204,-1.202193141,6.131229877,0.355496168,-0.307255,-0.186488181,-0.603670835
-0.166624591,-0.202167809,-0.881231487,-0.471559107,1.019698739,-0.262021244,-0.468221813,-0.566419303,-0.16698657,-0.239093781
-0.545604944,-0.772930384,-0.619910598,-0.033121921,-0.336676002,-0.1498629,-0.457535267,-0.396726876,0.420972496,-0.597240746
-0.528747141,-0.384866357,-1.00350225,-0.338547289,0.575888753,0.541659534,-0.404938579,-0.26336351,-0.02185053,0.021627771
-0.60896796,-0.505834699,-0.015156009,-0.824126065,-0.876027107,1.384464741,-0.686274886,-0.604235888,-0.360952288,-0.007790178
-0.364726692,-0.681627393,-0.378399909,-0.879481375,-0.805659294,0.929829955,-0.674198091,-0.579714775,-0.564038873,-0.358678967
0.000738866,-0.481476426,0.221406862,0.528365076,1.561210871,0.637305975,0.076780073,0.120554291,-0.21480754,0.088911809
-0.505147457,-0.946888387,-0.487445533,0.605305016,0.139627993,1.121723771,-0.556965888,-0.179773137,0.379273504,-0.340073377
-1.045075178,-1.094766974,-1.028248668,-0.016165148,0.067651667,-0.218478158,-0.471577674,-0.402744085,-0.669287205,-0.186549962
0.215792194,-0.739782751,-0.914857686,0.367551178,-0.25518012,0.087171607,-0.27621296,-0.025052011,-0.076998234,-0.18283914
-0.274957895,-0.759207129,-0.829280794,-0.892012358,0.080828786,-0.046501309,0.20455505,0.445522189,0.307476342,-0.630758524
-0.704534829,-0.781594872,-0.384558976,-0.236540571,-0.568195105,2.165385485,-0.642952621,-0.584186196,-0.468347102,0.194638237
-0.213739425,-0.61176765,-1.197190404,0.318924606,-0.329385132,-0.307906121,-0.698888123,-0.581857562,0.360294372,0.19042702
-0.605784774,0.284491658,-0.560335994,-0.109639354,1.607428551,0.518514335,-0.591925621,-0.57026881,-0.499981195,0.648542106
-0.053499583,-0.630349934,-0.559102178,-0.436650693,-0.206592649,-0.192374527,-0.459255338,-0.469753951,-0.045411229,-0.226275757
-0.55568403,0.212022975,-0.964451015,0.166628852,0.101807199,-0.489955902,-0.463268906,-0.230432957,-0.534459352,0.126882896
-0.512161851,-0.689860523,-0.986849129,0.026302144,-0.126204059,0.788541853,-0.695460439,-0.593349993,0.017548852,-0.116250299
-0.620725691,0.590162098,-0.852105439,-0.012817712,1.002622008,2.755607843,-0.561730921,-0.401201397,-0.479142666,-0.263489693
-0.858239472,-0.220126823,-0.827238858,-0.948310673,-0.471509576,0.402788222,-0.676990688,-0.560217321,-0.836962104,-0.652143538
-0.227644041,0.77823019,-1.35857892,0.561297715,1.065345883,-0.398392409,-0.545701146,-0.245528579,-0.075039171,-0.355713993
-0.756885052,-0.456033111,0.392740548,-0.686104536,-0.315039545,0.156756371,-0.515666306,-0.547949731,0.306624353,-0.499282628
-0.089295328,-0.332556576,-0.549334347,-0.022812203,0.46202603,0.319465429,0.067055397,-0.115405701,0.263122767,-0.086951204
-0.51020813,0.167527884,-0.311777145,-0.557384372,0.041729961,0.618278205,-0.417597413,-0.435093671,-0.614511728,-0.208367109
-0.529961824,-0.816894591,-0.499626398,0.05755673,0.286023289,0.137670264,-0.503696322,-0.319895506,-0.408370703,0.070981853
-0.751049042,-0.831681192,-0.460996002,-0.706285834,-0.609280705,-0.046501309,-0.668038845,-0.604562104,-0.54535228,-0.357030004
-0.964955747,-0.200430915,-1.11255157,-0.705263495,0.087807924,0.613006234,-0.586326659,-0.529140711,-0.278010637,-0.427345604
-0.450766981,0.361833036,-0.717604578,0.288065434,-0.040756054,1.249750614,-0.600964665,-0.48521778,-0.370983362,-0.173541665
-0.301871777,-0.242108062,-0.218281999,0.235266909,1.042237163,1.700933099,0.353053123,-0.178989336,-0.248286441,0.200344726
-0.557911038,-0.138242215,-1.121881247,1.022859573,-0.452217549,0.720544577,-0.363542289,0.148327023,-0.556179047,0.20434542
-0.226956397,-0.169718713,-0.953229904,-0.149106234,0.334441215,0.451231688,-0.385424614,-0.279944569,-0.318513542,-0.126270503
-0.355531663,-0.86348176,-1.409671426,-0.710413098,-0.862855852,0.788541853,-0.699622631,-0.593349993,-0.242959127,-0.288597882
-0.110639662,0.020268502,-0.581329465,0.419216931,0.348527074,-0.291568309,-0.476112276,-0.091818221,-0.402161956,-0.75393635
-0.274210751,-1.423550248,-0.456619084,-0.037670325,-0.03713179,0.280254722,-0.556761086,-0.344406068,-0.728544354,-0.528110325
-0.338495493,-0.631904423,-1.342485547,-0.47386232,0.488841712,-0.013825706,-0.48092854,-0.140065342,-0.188549891,-0.620982528
-0.138775319,-0.532041013,-0.128137976,0.186612085,1.031095505,0.429156184,-0.279661506,-0.023417247,0.114152066,-0.391679198
-0.253376424,0.3625651,-1.039072871,-0.753121197,1.815662146,0.493356466,-0.54924041,-0.344474614,0.103769243,0.031743824
-0.054715578,0.280969113,-0.883505702,-0.745494723,-0.405101031,0.788541853,-0.67881161,-0.334245086,-0.457718462,-0.460945457
-0.607561529,-0.666646063,-1.553461552,-0.213323548,1.037733436,0.579319537,-0.559730232,-0.449991733,0.392923415,0.795877397
-0.262650073,0.135384068,-0.430220455,-0.287721634,0.637398362,0.047142185,-0.081687577,-0.300104558,-0.120494679,-0.189287841
-0.18574658,0.036276717,-0.720810831,0.806951404,-0.481908172,0.188640878,-0.163865253,0.004074799,-0.315718949,0.004956767
-0.626288474,-0.74556911,-1.244552374,-0.303123355,-0.214708745,0.758434236,-0.394157469,-0.150394663,-0.182436824,-0.1467264
-0.193986282,-1.364562988,-0.202226311,-0.57008636,-0.802226067,1.200012445,-0.689910829,-0.563567817,-0.272985011,-0.044438802
-0.860848129,-0.117964946,-1.152010083,0.344395667,0.576056838,0.840407908,-0.623338878,-0.54104346,-0.3687087,-0.474342227
-0.002459132,-0.446859598,-1.125825644,0.052426796,0.333550245,-0.084738716,-0.611685038,-0.354268849,-0.019571094,-0.041077413
0.025717996,-0.851302445,-0.55767858,-0.007025449,0.573615134,0.61109519,-0.526683033,-0.103880003,-0.294375837,-0.37584883
-0.278929383,-1.127401114,-0.997576296,-1.052861691,-0.907911003,0.154348716,-0.642000973,-0.164705306,-0.289707273,-0.40599978
-0.467193842,0.105602965,-1.373603463,0.852745473,0.533319652,1.043732762,-0.193434566,0.141066894,0.206101596,-0.087249503
-0.44823581,-0.479898512,-0.974035382,-0.097204581,1.700288653,0.145971417,-0.037832152,0.102492079,-0.433610111,-0.177044138
-0.520289123,0.025265457,-0.321560502,-0.409123361,0.867232621,-0.046501309,-0.650410712,0.404527932,-0.224226743,0.372912705
0.074530944,-0.081694238,-0.381441325,-0.283548266,0.448859572,0.147444203,-0.655556977,-0.542124629,-0.091005422,-0.671376288
-0.696820319,-0.321616769,-0.952872336,-0.013791201,1.110318542,0.700369596,-0.479323119,-0.254365057,0.187584192,-0.371694028
-0.222889245,0.092103243,-0.303702146,0.220534846,0.521277547,0.758434236,-0.401466697,-0.38051641,-0.275685847,-0.222391188
-0.382987708,0.297282487,-1.184502482,-0.319773853,0.498364538,0.271423459,-0.590617895,-0.043426219,0.097896501,0.036300607
-0.224066108,-0.69930315,-0.285101503,0.114963107,0.554888785,1.147643447,-0.428776652,-0.46122542,0.619851232,-0.027726309
0.03647026,0.022560896,-0.541164696,0.617679,-0.445809603,-0.093180738,-0.275969714,-0.136619121,0.328845084,-0.288597882
-0.296802163,0.197888181,-0.194630429,-0.65056783,0.385760903,0.280254722,-0.198689118,-0.263994217,0.021887278,-0.471083552
0.156050235,-0.302179754,-0.425199211,0.129483551,-0.285089731,0.770388722,-0.546845257,-0.526515245,-0.717331648,-0.185949683
-0.353588402,-0.693644106,-0.227178514,-0.581526041,0.122905232,0.312219977,-0.543540001,-0.443532705,0.346661627,-0.162147209
-0.278587192,-0.496431738,-1.147432208,0.008761305,0.413617462,0.30359444,-0.658595204,-0.44295001,-0.570465267,-0.4824889
-0.742970467,-0.507826686,-1.151192188,0.526292324,1.776279211,-0.231189489,-0.272363335,-0.377105504,-0.089406058,-0.622427642
-0.307423145,0.022824146,-0.877697289,0.586038172,0.243954286,-0.187933013,-0.400130302,-0.509959877,-0.629214764,0.145486519
-0.106273882,-1.255321383,-1.066366792,-0.914156675,-0.437864423,1.844913363,-0.582440615,-0.608928323,-0.421773732,-0.154365629
-0.834249198,-0.773952127,-1.373784423,-0.847864211,0.937848508,-0.041144654,-0.750797272,-0.573234797,-0.560803354,-0.383954138
-0.00460439,-0.466182619,-1.390149117,0.370928019,-0.442370504,0.933766723,-0.571083963,-0.197772667,-0.668970585,-0.174544334
-0.371011496,-0.489246309,-0.735213518,-0.768432796,-0.27731213,-0.077920154,-0.271235764,-0.08006572,-0.552911818,-0.646550536
-0.386764199,-0.350396365,-1.384869099,0.43558836,-0.488972217,0.068468399,-0.499836832,-0.490105122,-0.334780484,0.170995682
-0.498166591,-0.642586231,-0.916086316,-1.204563498,0.456101626,0.700369596,0.540119648,-0.068843402,-0.437250972,-0.853651762
-0.675599515,-0.618754804,-0.526876867,-0.2179939,0.01219718,0.440662205,-0.577253819,-0.053805344,-0.205281362,-0.352053136
-0.156052873,0.130147398,-1.226625323,0.534123778,0.1542335,-0.314334124,-0.502088547,-0.549506724,-0.477493554,0.302610844
-0.800109267,-0.553150415,-1.198475003,0.080519281,1.433910251,0.087171607,-0.708703816,-0.363756508,-0.327256709,-0.64112705
-0.258100271,1.042672157,-0.833589435,0.05755673,0.414007246,0.743654132,-0.544561625,-0.264338225,-0.425388753,-0.309749633
-0.485865951,-0.365291715,-1.131108165,0.365090907,-0.411510468,0.700369596,-0.352494806,0.167797208,-0.261838943,-0.022690179
-0.496163517,-0.740633547,-0.607153177,-0.566990912,0.952292621,0.770388722,-0.672445893,-0.263994217,1.692269325,-0.596542478
