ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.678296966,-0.086755992,-0.788158052,2.29328184,-0.659958524,-0.296342109,-0.182343699,0.909186269,-0.267820808,-0.29044545,-0.275959466,0.561036979,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.739980857,-0.086755992,-0.35404861,-0.101048159,-0.482382171,1.6214492,-0.13726687,-0.795353357,-0.575480664,0.035443323,-0.275959466,-0.525575807,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.452454714,-0.086755992,1.225967705,0.842801054,2.282725746,-0.065251787,-0.143832889,-0.077683046,-0.443805452,-0.526984769,-0.275959466,3.481963887,-0.076812388,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.964761164,-0.086755992,-0.696570746,-0.300661484,-1.055128678,-0.503426703,1.399038911,-0.690121971,-0.620089175,-0.499282733,-0.275959466,-0.313888014,-0.076812388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.359031831,-0.082316883,0.266144666,1.043406706,-0.099772632,0.046875,-0.985924866,0.099130387,-0.39855596,-0.492075681,-0.275959466,-0.300716069,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.736453248,-0.086755992,-1.663874139,0.261729125,-0.899721742,-0.011922655,-0.894217398,-0.035711784,-0.232311395,-0.61155591,-0.275959466,-0.530047089,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.66845742,-0.086755992,0.404285168,0.79229776,-0.795434546,0.589262948,-0.700013349,-0.7597053,-0.625374558,-0.298017843,-0.275959466,-0.083301493,-0.076812388,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.547501144,-0.086755992,0.719414159,0.498808725,-0.350639278,2.151669482,-0.084738715,-0.626031339,-0.556153937,0.028540403,-0.275959466,-0.362854019,-0.076812388,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.974931821,-0.086755992,-0.583175365,-0.587175736,-0.670069142,-0.359477119,-0.847053558,-0.72334722,-0.542124634,-0.686779776,-0.275959466,-0.928438284,-0.076812388,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.056912908,-0.086755992,-0.084964189,0.326160999,1.895654356,-0.592620257,0.171336038,0.654282983,-0.167890393,-0.173639409,-0.275959466,0.099184184,-0.076812388,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
