ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph2488198336
-1.205695192,-0.086755992,-0.497703304,0.460802748,-0.660296389,-0.577029744,-0.886731075,-0.858381024,-0.604411915,0.353846563,-0.275959466,-0.676379943,-0.076812388,2
-1.078029503,-0.086755992,1.138700341,1.294429076,-0.634852536,-0.690760541,-1.680281409,-0.637189589,-0.555320426,-0.68142388,-0.275959466,-0.199109711,-0.076812388,8
-0.21839655,-0.086755992,-0.006407053,1.235656063,-0.933000262,-0.549567144,-0.531001614,0.613194029,-0.349136171,-0.373358207,-0.275959466,-0.128136336,-0.076812388,4
-0.039322711,-0.086755992,-1.125036682,1.352329797,-0.977910857,1.128832279,-0.638746595,-0.49671519,-0.617175702,-0.411493819,-0.275959466,-0.579434427,-0.076812388,10
-0.55590297,-0.086755992,-0.985557865,1.302060592,-1.285752572,0.788699242,2.393276975,-0.24261261,-0.617175702,-0.303192104,-0.275959466,-0.676379943,-0.076812388,1
-0.935781093,-0.086755992,0.270613945,-0.093478587,-0.364380167,1.57404774,-0.544061612,-0.47202575,-0.62326751,-0.324965111,-0.275959466,-0.182839135,-0.076812388,5
-1.097351429,-0.086755992,1.032001142,-0.619536999,0.166628852,1.601744524,-0.754472685,-0.520647865,-0.492090588,-0.481232914,-0.275959466,-0.504032359,-0.076812388,5
-0.880623237,-0.086755992,-0.248675312,-0.151538815,0.482363944,0.42173753,-0.754472685,-0.680892735,-0.559100471,-0.589098639,-0.275959466,-0.12702202,-0.076812388,8
-1.050594243,-0.086755992,-1.602156855,-0.533399564,-1.656023725,0.603006777,0.213418253,-0.758082708,-0.604992087,-0.257730285,-0.275959466,-0.500115369,-0.076812388,1
-0.620022624,-0.086755992,-0.587995762,-0.854528799,0.133966601,0.983007217,-0.339454982,-0.5338521,-0.48592876,-0.492365885,-0.275959466,-0.114764541,-0.076812388,1
-0.324262205,-0.086755992,-1.183394522,1.785801169,-0.182341513,-0.694847528,-1.09556011,0.214528874,-0.312457078,-0.130119433,-0.275959466,-0.819247019,-0.076812388,2
