CD107a,CD3,CD45,CD68,CD86,FerritinHC,HLADR,Mac2,MerTK,PLP,S100B,TIM3,Vimentin,Type
2.79994292,-0.086755992,1.07839609,0.488492656,-0.536599308,-1.071201779,1.728377982,0.375928805,0.926488323,-0.596722748,-0.275959466,0.61035145,-0.076812388,3
-1.05587815,-0.086755992,-1.668853501,-2.734611496,-0.890397326,-0.807695911,0.855629442,-0.360312512,-0.387594017,0.099393239,4.607009066,-0.162147207,-0.076812388,10
1.708094407,-0.086755992,0.711614212,0.185445186,-0.32308272,-0.943035609,0.530323094,0.464435495,1.211510321,-0.386435463,-0.275959466,0.138753782,-0.076812388,3
0.85659705,-0.086755992,-1.104688396,-0.316120637,-0.97001748,-1.122048113,-0.013825707,-0.521064085,-0.566248191,0.621015471,-0.275959466,0.215518803,-0.076812388,7
0.45729055,-0.086755992,1.150835332,0.918888397,-0.128288542,-0.524661609,0.883496595,1.713312446,0.585762148,-0.365991844,-0.275959466,-0.122405566,-0.076812388,3
-0.82567216,-0.086755992,-1.91709674,-2.788934868,-0.345079746,-0.433847901,0.187298257,-0.175400185,-0.58066687,-0.410359049,3.7759157,-0.047905564,-0.076812388,10
-0.028273775,-0.086755992,-0.217420235,0.417931686,-0.468388918,-0.723066726,-0.931312554,-0.6211955,-0.631029431,3.721057964,-0.275959466,-0.43238224,-0.076812388,7
3.294514048,-0.086755992,0.969934774,0.703884401,-0.780576424,-1.167787929,0.280254711,0.142856487,0.486516484,1.65803693,-0.275959466,-0.128922912,-0.076812388,7
0.087961356,-0.086755992,-1.004323274,-0.760518631,-0.881849945,-0.754751793,1.621187435,-0.162933881,0.89193743,1.034365964,-0.275959466,-0.639796729,-0.076812388,7
2.113676821,-0.086755992,-1.44986491,0.186998214,-0.14910624,-1.231181708,-0.544061612,-0.579297109,-0.50995989,0.630324077,-0.275959466,0.927627683,-0.076812388,7
2.003363429,-0.086755992,0.847206608,0.704322091,0.64023149,-0.235337655,0.541659527,0.490351589,0.618486535,-0.25907222,-0.275959466,0.680857279,-0.076812388,3
1.27228331,-0.086755992,0.128238721,-0.380508945,2.954502537,-0.70263842,-0.262021237,-0.224334333,0.328376515,-0.242548811,-0.275959466,-0.115333553,-0.076812388,4
1.043246872,-0.086755992,2.505275638,0.499487211,-0.572325619,-0.674774524,2.219934065,0.284960084,0.006729078,-0.46065848,-0.27447749,-0.016325367,-0.076812388,3
1.862579861,-0.086755992,-0.518030603,-0.094521204,0.150011215,-0.799673218,-1.09556011,-0.309908883,-0.484566671,0.971502601,-0.275959466,-0.02327331,-0.076812388,7
3.700167715,-0.086755992,0.770578913,1.291103457,2.477597467,-0.695028533,-0.139860172,1.384382605,1.925370705,0.294645751,-0.275959466,0.816092201,-0.076812388,3
0.415821894,-0.086755992,-0.327039502,0.053556519,-0.287721647,-0.543440426,-0.054470968,-0.520241796,-0.074559091,-0.66546996,-0.275959466,0.307262365,-0.076812388,2
1.142608898,-0.086755992,-0.736207794,1.700050972,-0.741109538,-0.922197218,-0.222132669,-0.099640888,0.851010828,2.359162001,-0.275959466,-0.259514225,-0.076812388,7
1.07727802,-0.086755992,-0.973573301,0.643365356,-0.9870186,-0.781005629,-0.718864658,-0.547862279,-0.302744714,3.946254795,-0.275959466,-0.512318301,-0.076812388,7
2.007917135,-0.086755992,-0.615909811,1.481043007,-0.392673311,-0.07943252,-1.204151208,-0.561199628,0.351595745,1.956842402,-0.275959466,-0.055928641,-0.076812388,7
-0.001854649,-0.086755992,-0.59606009,0.404627207,-0.07761905,-0.550898474,1.149549029,-0.533998332,-0.400721138,-0.137880072,-0.275959466,-0.486147233,-0.076812388,1
-0.388898331,-0.086755992,-0.35629844,-2.017235696,-0.454656329,0.055978634,0.469984013,0.196593942,-0.515147752,-0.403141132,3.151260974,0.699620928,-0.076812388,10
3.077862192,-0.086755992,1.477825384,-0.11083626,2.574108929,-0.987677374,-0.638746595,0.790966803,1.522449853,0.093078246,-0.275959466,1.223752168,-0.076812388,3
0.116890092,-0.086755992,-1.294895375,-0.042939615,0.398167919,1.592650057,0.911983017,0.141975079,-0.023914874,0.01079092,-0.25367055,-0.211041467,-0.076812388,1
1.141382221,-0.086755992,-0.714755114,-0.674502085,0.093766907,-1.018161326,0.028903927,-0.377852236,-0.28315721,0.05086275,-0.275959466,2.246900228,-0.076812388,2
-0.94989448,-0.086755992,-0.82438389,-2.631539974,-0.192161026,-0.074117572,-0.16532168,-0.196185111,-0.564786158,-0.813446334,3.183254992,0.451713333,-0.076812388,10
1.958440277,-0.086755992,-0.239419683,1.768823475,-0.806350718,-0.919649839,-1.340188408,2.218932073,1.774393336,1.638739791,-0.275959466,-0.407306674,-0.076812388,7
0.871966331,-0.086755992,0.596492993,-0.754565983,-0.304385794,-0.586443688,1.051613185,-0.299436935,-0.038034552,-0.493042285,-0.275959466,0.188183346,-0.076812388,3
