CD107a CD3 CD45 CD68 CD86 FerritinHC HLADR Mac2 MerTK PLP S100B TIM3 Vimentin
-0.667846115 -0.086755992 -1.154500275 -0.611603788 -0.327824217 -0.402641515 -0.422578992 -0.830849893 -0.582785725 -0.749317044 -0.275959466 -0.003248814 -0.076812388
-0.860444708 -0.086755992 -0.555038107 0.186912227 -0.759170655 -0.493836297 -1.115381171 -0.616872388 -0.597186313 -0.124484068 -0.275959466 0.243780886 -0.076812388
-0.835003441 -0.086755992 0.325706055 -0.916238146 0.256838878 0.442849684 0.700369594 -0.578324126 -0.372110988 -0.819115375 -0.275959466 -0.897969694 -0.076812388
-0.814542566 -0.086755992 -0.683616432 -0.9007999 -1.111346521 -0.197660581 -0.886731075 -0.733514891 -0.558462281 -0.620227659 -0.275959466 -0.787174818 -0.076812388
-0.501504376 -0.086755992 0.739199316 -0.197048929 0.208329713 2.967115614 0.206272216 -0.500072439 -0.400721138 -0.430707513 -0.275959466 -0.74954637 -0.076812388
-0.682851521 -0.086755992 0.408902321 1.255998941 -0.70771448 2.34189416 -1.039336908 -0.648715693 -0.470784882 -0.401745955 -0.275959466 -0.586891774 -0.076812388
-0.173777369 -0.086755992 2.538807797 -0.128812937 1.993751598 0.688272481 -0.587523571 0.091127952 -0.264769631 -0.442125692 -0.275959466 0.264468342 -0.076812388
-0.505353182 -0.086755992 0.488382262 0.211986204 -1.137494355 -0.457163549 -1.31800843 -0.594843683 -0.513456058 -0.441155131 -0.275959466 -0.693240033 -0.076812388
-0.576473332 -0.086755992 -0.748041466 -0.424325253 0.432133361 0.655093266 -0.733431578 -0.694230708 -0.614129798 0.332969574 -0.275959466 -0.632313799 -0.076812388
-0.782327462 -0.086755992 0.673335845 0.026285732 0.127161965 0.252353096 -1.333103138 -0.524810069 -0.466403466 -0.831308164 -0.275959466 -0.240125121 -0.076812388
0.043025437 -0.086755992 -1.325678995 -0.855172111 -0.729027838 -0.515410095 -0.660002408 -0.657066238 -0.614987624 -0.477625301 -0.275959466 -0.597240746 -0.076812388
-0.681980918 -0.086755992 0.317186312 -0.733142367 -0.756747361 -0.970959858 -0.737004596 -0.775720317 -0.634370691 -0.046596221 -0.275959466 -0.74954637 -0.076812388
-0.27909903 -0.086755992 0.293235342 -0.615112153 -0.869515887 0.167764954 -0.506721055 -0.598146939 -0.591504311 -0.48978515 -0.275959466 0.383193583 -0.076812388
-0.635035243 -0.086755992 -0.073669129 -0.333887274 -0.464841332 -0.590021838 -0.886731075 -0.696055051 -0.578884341 -0.580450116 -0.275959466 -0.122405566 -0.076812388
-0.690029162 -0.086755992 0.079952531 -0.7877855 0.539770324 0.337613717 -1.175294833 -0.003777752 -0.397870632 0.228231246 -0.275959466 0.451713333 -0.076812388
-0.888314158 -0.086755992 0.232699748 -0.622669396 0.015625112 0.624682521 -0.593462473 -0.101351011 -0.440036534 0.014904093 -0.275959466 -0.794400571 -0.076812388
-0.567242495 -0.086755992 0.722405016 0.122495797 1.031825013 0.697612848 -0.16532168 0.000114179 -0.367933749 -0.301609984 -0.275959466 -0.303706272 -0.076812388
0.272207286 -0.086755992 1.893978715 -0.188947962 2.700087231 0.776767303 0.319465434 0.075446403 -0.337556864 -0.396143335 -0.275959466 1.079497241 -0.076812388
-0.893171409 -0.086755992 -0.566943245 0.157747455 -0.224882662 0.099702481 -0.680407988 -0.734585172 -0.545341108 -0.118335842 -0.275959466 -0.893537899 -0.076812388
-0.409218951 -0.086755992 -0.899277283 -0.558230486 -0.323974907 0.638150848 -0.911148008 -0.428567096 -0.428310925 -0.332692499 -0.275959466 -0.378086048 -0.076812388
-0.496489291 -0.086755992 -0.027342452 -0.369653171 -0.79401196 -0.326475817 -0.61658628 -0.750366126 -0.520225234 -0.608841048 -0.275959466 -0.461862206 -0.076812388
-1.13484995 -0.086755992 -1.448338837 -2.151409625 -0.839317837 0.915006573 -0.130090058 -0.093586332 -0.610942225 -0.257960592 3.954399067 0.568129935 -0.076812388
0.311889982 -0.086755992 0.070288603 1.093517733 -0.14910624 -0.371754649 0.303594427 1.123422881 -0.280211721 0.037644889 -0.275959466 0.819350873 -0.076812388
-1.009799392 -0.086755992 -0.636283606 -0.924108503 0.312945114 0.598469627 -1.680281409 -0.695663485 -0.50211483 -0.816204823 -0.275959466 -0.827709529 -0.076812388
-0.56312916 -0.086755992 0.465774454 -0.34990847 0.361746044 0.921294516 -0.369585913 -0.441893345 -0.457556656 -0.305237936 -0.275959466 -0.301669185 -0.076812388
-0.423056561 -0.086755992 1.161104101 -0.668982864 -0.732001795 0.629336211 0.242552094 -0.642952641 -0.448104614 -0.44800212 -0.275959466 0.248331132 -0.076812388
-0.470079492 -0.086755992 -1.23389649 0.373465072 -0.911791008 -0.4886835 0.916792413 -0.475674435 -0.574707101 -0.367678115 -0.275959466 -0.122405566 -0.076812388
0.688283772 -0.086755992 0.382651737 -0.810156913 0.815970834 0.622802451 0.520697821 0.131797311 -0.100314569 -0.843882524 -0.275959466 2.718542274 -0.076812388
-0.118370782 -0.086755992 -0.10132446 -0.757747081 -0.270026063 -0.960379463 0.801673892 -0.721673483 -0.585239077 -0.47247667 -0.275959466 0.280699193 -0.076812388
-0.561329938 -0.086755992 -0.645773774 0.026651803 -0.439067039 2.683429201 0.870416095 -0.251123893 -0.50995989 0.372692198 -0.275959466 -0.336081397 -0.076812388
-0.633849757 -0.086755992 0.305870243 -0.568983417 -0.459665347 0.559459057 -0.314334112 -0.365759274 -0.417683986 -0.236666732 -0.275959466 -0.002529144 -0.076812388
-0.554042363 -0.086755992 0.406510154 -0.384826582 -0.12040305 0.722061608 -0.922801544 -0.255780311 -0.463662153 3.940778588 -0.275959466 -0.500115369 -0.076812388
0.174741027 -0.086755992 0.125595101 0.034922291 -0.898977084 -0.893549649 -0.985924866 -0.627824629 -0.597072737 -0.292773748 -0.275959466 -0.627907185 -0.076812388
-0.128712719 -0.086755992 -0.691735803 0.277695031 0.020037559 -0.187591708 1.593113721 -0.639865292 -0.349136171 7.351280956 -0.275959466 0.376171372 -0.076812388
-0.507475766 -0.086755992 -1.103183526 -0.676955073 0.482363944 1.827707031 0.883496595 -0.625663484 0.017871802 -0.809935942 -0.275959466 -0.557062385 -0.076812388
-0.702112765 -0.086755992 -0.204019021 0.164729432 -0.747341152 0.953356947 0.073882488 -0.435300768 -0.313585665 -0.491433777 -0.275959466 -0.962114095 -0.076812388
-0.725327263 -0.086755992 -0.366930145 -0.335253938 -0.769095148 0.236913173 -0.922801544 -0.084827224 -0.464636842 -0.408874929 -0.275959466 -0.711632858 -0.076812388
